id,review,rating,date
1,"I absolutely love this product! It exceeded all my expectations.",5,2024-01-15
2,"Terrible experience. The item arrived damaged and customer service was unhelpful.",1,2024-01-16
3,"It's decent. Nothing spectacular but does the job.",3,2024-01-17
4,"Outstanding quality! Would definitely recommend to others.",5,2024-01-18
5,"Very disappointing. Not as described at all.",2,2024-01-19
6,"Good value for money. Happy with my purchase.",4,2024-01-20
7,"Worst purchase ever. Complete waste of money.",1,2024-01-21
8,"Pretty average product. Neither good nor bad.",3,2024-01-22
9,"Excellent! Fast shipping and great packaging too!",5,2024-01-23
10,"Poor quality materials. Broke after one week.",1,2024-01-24
